0.000 0.000 0.000 0.0
0.095 0.100 0.100 0.1
0.182 0.200 0.199 0.2
0.262 0.300 0.296 0.3
0.336 0.400 0.389 0.4
0.405 0.500 0.479 0.5
0.470 0.600 0.565 0.6
0.530 0.700 0.645 0.7
0.587 0.800 0.717 0.8
0.641 0.900 0.783 0.9
0.693 1.000 0.841 1.0
0.742 1.100 0.891 1.1
0.788 1.200 0.932 1.2
0.833 1.300 0.964 1.3
0.875 1.400 0.985 1.4
0.916 1.500 0.997 1.5
0.955 1.600 0.999 1.6
0.993 1.700 0.992 1.7
1.029 1.800 0.974 1.8
1.064 1.900 0.946 1.9
1.099 2.000 0.909 2.0
1.131 2.100 0.863 2.1
1.163 2.200 0.808 2.2
1.194 2.300 0.746 2.3
1.224 2.400 0.675 2.4
1.253 2.500 0.598 2.5
1.281 2.600 0.515 2.6
1.308 2.700 0.427 2.7
1.335 2.800 0.335 2.8
1.361 2.900 0.239 2.9
1.386 3.000 0.141 3.0
1.411 3.100 0.042 3.1
1.435 3.200 -0.058 3.2
1.458 3.300 -0.158 3.3
1.481 3.400 -0.256 3.4
1.504 3.500 -0.350 3.5
1.526 3.600 -0.442 3.6
1.548 3.700 -0.529 3.7
1.569 3.800 -0.612 3.8
1.590 3.900 -0.687 3.9
1.610 4.000 -0.756 4.0
1.630 4.100 -0.818 4.1
1.649 4.200 -0.872 4.2
1.668 4.300 -0.916 4.3
1.686 4.400 -0.951 4.4
1.704 4.500 -0.977 4.5
1.722 4.600 -0.994 4.6
1.739 4.700 -1.000 4.7
1.757 4.800 -0.996 4.8
1.774 4.900 -0.982 4.9
1.791 5.000 -0.958 5.0
1.807 5.100 -0.925 5.1
1.824 5.200 -0.883 5.2
1.840 5.300 -0.832 5.3
1.856 5.400 -0.773 5.4
1.872 5.500 -0.706 5.5
1.887 5.600 -0.631 5.6
1.902 5.700 -0.550 5.7
1.917 5.800 -0.464 5.8
1.932 5.900 -0.373 5.9
1.946 6.000 -0.279 6.0
1.960 6.100 -0.182 6.1
1.974 6.200 -0.084 6.2
1.988 6.300 0.014 6.3
2.001 6.400 0.112 6.4
2.014 6.500 0.208 6.5
2.027 6.600 0.302 6.6
2.040 6.700 0.392 6.7
2.053 6.800 0.478 6.8
2.065 6.900 0.560 6.9
2.077 7.000 0.636 7.0
2.089 7.100 0.706 7.1
2.101 7.200 0.769 7.2
2.113 7.300 0.826 7.3
2.124 7.400 0.874 7.4
2.136 7.500 0.915 7.5
2.147 7.600 0.947 7.6
2.158 7.700 0.971 7.7
2.169 7.800 0.985 7.8
2.180 7.900 0.991 7.9
2.190 8.000 0.989 8.0
2.201 8.100 0.978 8.1
2.211 8.200 0.958 8.2
2.221 8.300 0.930 8.3
2.231 8.400 0.894 8.4
2.241 8.500 0.850 8.5
2.251 8.600 0.799 8.6
2.260 8.700 0.741 8.7
2.270 8.800 0.678 8.8
2.279 8.900 0.609 8.9
2.289 9.000 0.536 9.0
2.298 9.100 0.458 9.1
2.307 9.200 0.377 9.2
2.316 9.300 0.294 9.3
2.325 9.400 0.208 9.4
2.334 9.500 0.121 9.5
2.342 9.600 0.033 9.6
2.351 9.700 -0.055 9.7
2.360 9.800 -0.142 9.8
2.368 9.900 -0.228 9.9
