1.000 1.800 1.000 0.0
1.578 1.806 1.070 0.2
2.144 1.804 1.140 0.4
2.685 1.794 1.210 0.6
3.192 1.777 1.280 0.8
3.652 1.752 1.350 1.0
4.058 1.720 1.420 1.2
4.400 1.682 1.490 1.4
4.674 1.637 1.560 1.6
4.874 1.587 1.630 1.8
4.999 1.532 1.700 2.0
5.046 1.473 1.770 2.2
5.019 1.410 1.840 2.4
4.919 1.344 1.910 2.6
4.753 1.276 1.980 2.8
4.526 1.207 2.050 3.0
4.248 1.183 2.120 3.2
3.928 1.273 2.190 3.4
3.576 1.362 2.260 3.6
3.204 1.449 2.330 3.8
2.825 1.533 2.400 4.0
2.450 1.614 2.470 4.2
2.092 1.691 2.540 4.4
1.762 1.763 2.610 4.6
1.471 1.830 2.680 4.8
1.230 1.891 2.750 5.0
1.046 1.946 2.820 5.2
0.928 1.993 2.890 5.4
0.881 2.034 2.960 5.6
0.908 2.067 3.030 5.8
1.012 2.092 3.100 6.0
1.191 2.109 3.170 6.2
1.446 2.119 3.240 6.4
1.770 2.120 3.310 6.6
2.160 2.113 3.380 6.8
2.606 2.099 3.450 7.0
3.101 2.077 3.520 7.2
3.634 2.048 3.590 7.4
4.195 2.013 3.660 7.6
4.770 1.971 3.730 7.8
5.350 1.923 3.800 8.0
5.920 1.870 3.870 8.2
6.469 1.812 3.940 8.4
6.986 1.751 4.010 8.6
7.460 1.686 4.080 8.8
7.881 1.619 4.150 9.0
8.241 1.550 4.220 9.2
8.534 1.480 4.290 9.4
8.755 1.550 4.360 9.6
8.900 1.639 4.430 9.8
8.968 1.727 4.500 10.0
8.961 1.812 4.570 10.2
8.880 1.895 4.640 10.4
8.731 1.973 4.710 10.6
8.520 2.048 4.780 10.8
8.255 2.117 4.850 11.0
7.945 2.180 4.920 11.2
7.600 2.238 4.990 11.4
7.233 2.288 5.060 11.6
6.854 2.332 5.130 11.8
