6.000 2.500 4.000 0.0
6.019 2.516 4.409 0.2
5.953 2.532 4.826 0.4
5.799 2.548 5.231 0.6
5.561 2.564 5.607 0.8
5.243 2.580 5.935 1.0
4.855 2.596 6.200 1.2
4.411 2.612 6.385 1.4
3.928 2.628 6.479 1.6
3.423 2.644 6.474 1.8
2.918 2.660 6.364 2.0
2.435 2.676 6.151 2.2
1.994 2.692 5.837 2.4
1.618 2.708 5.433 2.6
1.324 2.724 4.951 2.8
1.129 2.740 4.409 3.0
1.045 2.756 3.827 3.2
1.080 2.772 3.228 3.4
1.238 2.788 2.637 3.6
1.516 2.804 2.079 3.8
1.908 2.820 1.578 4.0
2.402 2.836 1.159 4.2
2.980 2.852 0.841 4.4
3.621 2.868 0.641 4.6
4.301 2.884 0.573 4.8
4.993 2.900 0.644 5.0
5.668 2.916 0.855 5.2
6.298 2.932 1.203 5.4
6.854 2.948 1.677 5.6
7.312 2.964 2.262 5.8
7.649 2.980 2.938 6.0
7.847 2.996 3.679 6.2
7.893 3.012 4.457 6.4
7.782 3.028 5.240 6.6
7.512 3.044 5.996 6.8
7.091 3.060 6.694 7.0
6.531 3.076 7.302 7.2
5.851 3.092 7.793 7.4
5.075 3.108 8.143 7.6
4.234 3.124 8.334 7.8
3.360 3.140 8.353 8.0
2.487 3.156 8.196 8.2
1.653 3.172 7.863 8.4
0.891 3.188 7.364 8.6
0.237 3.204 6.714 8.8
-0.282 3.220 5.937 9.0
-0.640 3.236 5.061 9.2
-0.819 3.252 4.119 9.4
-0.805 3.268 3.149 9.6
-0.596 3.284 2.190 9.8
-0.195 3.300 1.280 10.0
0.386 3.316 0.459 10.2
1.128 3.332 -0.238 10.4
2.004 3.348 -0.780 10.6
2.982 3.364 -1.140 10.8
4.023 3.380 -1.300 11.0
5.088 3.396 -1.248 11.2
6.133 3.412 -0.983 11.4
7.114 3.428 -0.509 11.6
7.991 3.444 0.158 11.8
